Disaster Number,IH Program Declared,IA Program Declared,PA Program Declared,HM Program Declared,State,Declaration Date,Disaster Type,Incident Type,Title,Incident Begin Date,Incident End Date,Disaster Close Out Date,Place Code,Declared County/Area,Declaration Request Number
4370,No,No,Yes,Yes,NH,2018/6/8 19:13,DR,Coastal Storm,SEVERE STORM AND FLOODING,2018/3/2 9:35,2018/3/8 0:00,,99015,"Rockingham (County)(in (P)MSA 4160,4760,6450)",18016
4369,No,No,Yes,Yes,AK,2018/6/8 19:05,DR,Coastal Storm,SEVERE STORM,2017/12/4 0:00,2017/12/4 23:59,,99122,Kenai Peninsula (Borough),18005
4367,No,No,Yes,Yes,ME,2018/5/30 9:17,DR,Coastal Storm,SEVERE STORM AND FLOODING,2018/3/2 9:35,2018/3/8 0:00,,99031,"York (County)(in MSA 6400,6450)",18012
4244,No,No,Yes,Yes,AK,2015/10/30 17:44,DR,Coastal Storm,SEVERE STORM,2015/8/27 0:01,2015/8/27 23:59,,99185,North Slope (Borough),15085
4041,No,No,Yes,Yes,LA,2011/10/28 10:49,DR,Coastal Storm,TROPICAL STORM LEE,2011/9/1 0:00,2011/9/5 0:00,,99037,East Feliciana (Parish),11252
4041,No,No,Yes,Yes,LA,2011/10/28 10:49,DR,Coastal Storm,TROPICAL STORM LEE,2011/9/1 0:00,2011/9/5 0:00,,99051,Jefferson (Parish),11252
4041,No,No,Yes,Yes,LA,2011/10/28 10:49,DR,Coastal Storm,TROPICAL STORM LEE,2011/9/1 0:00,2011/9/5 0:00,,99057,Lafourche (Parish),11252
4041,No,No,Yes,Yes,LA,2011/10/28 10:49,DR,Coastal Storm,TROPICAL STORM LEE,2011/9/1 0:00,2011/9/5 0:00,,99075,Plaquemines (Parish),11252
4041,No,No,Yes,Yes,LA,2011/10/28 10:49,DR,Coastal Storm,TROPICAL STORM LEE,2011/9/1 0:00,2011/9/5 0:00,,99087,St. Bernard (Parish),11252
4041,No,No,Yes,Yes,LA,2011/10/28 10:49,DR,Coastal Storm,TROPICAL STORM LEE,2011/9/1 0:00,2011/9/5 0:00,,99089,St. Charles (Parish),11252
4041,No,No,Yes,Yes,LA,2011/10/28 10:49,DR,Coastal Storm,TROPICAL STORM LEE,2011/9/1 0:00,2011/9/5 0:00,,99109,Terrebonne (Parish),11252
4041,No,No,Yes,Yes,LA,2011/10/28 10:49,DR,Coastal Storm,TROPICAL STORM LEE,2011/9/1 0:00,2011/9/5 0:00,,99125,West Feliciana (Parish),11252
