Disaster Number,IH Program Declared,IA Program Declared,PA Program Declared,HM Program Declared,State,Declaration Date,Disaster Type,Incident Type,Title,Incident Begin Date,Incident End Date,Disaster Close Out Date,Place Code,Declared County/Area,Declaration Request Number
3276,No,No,Yes,No,FM,2007/7/31 0:00,EM,Drought,DROUGHT,2007/3/5 0:00,2007/11/2 0:00,2012/8/22 0:00,99002,Chuuk (County-equivalent),7847
1213,No,No,Yes,No,FM,1998/4/3 0:00,DR,Drought,SEVERE DROUGHT,1998/1/25 0:00,1998/6/30 0:00,2010/1/20 0:00,99040,Pohnpei (County-equivalent),98228
1213,No,No,Yes,No,FM,1998/4/3 0:00,DR,Drought,SEVERE DROUGHT,1998/1/25 0:00,1998/6/30 0:00,2010/1/20 0:00,99050,Truk (County-equivalent),98228
1213,No,No,Yes,No,FM,1998/4/3 0:00,DR,Drought,SEVERE DROUGHT,1998/1/25 0:00,1998/6/30 0:00,2010/1/20 0:00,99060,Yap (County-equivalent),98228
1210,No,No,Yes,No,MH,1998/3/20 0:00,DR,Drought,"DROUGHT, CROP LOSSES",1998/1/17 0:00,1998/6/30 0:00,2010/5/28 12:00,10500,Ebeye,98026
1210,No,No,Yes,No,MH,1998/3/20 0:00,DR,Drought,"DROUGHT, CROP LOSSES",1998/1/17 0:00,1998/6/30 0:00,2010/5/28 12:00,99010,Ailinglaplap (County-equivalent),98026
1210,No,No,Yes,No,MH,1998/3/20 0:00,DR,Drought,"DROUGHT, CROP LOSSES",1998/1/17 0:00,1998/6/30 0:00,2010/5/28 12:00,99030,Ailuk (County-equivalent),98026
1210,No,No,Yes,No,MH,1998/3/20 0:00,DR,Drought,"DROUGHT, CROP LOSSES",1998/1/17 0:00,1998/6/30 0:00,2010/5/28 12:00,99040,Arno (County-equivalent),98026
1210,No,No,Yes,No,MH,1998/3/20 0:00,DR,Drought,"DROUGHT, CROP LOSSES",1998/1/17 0:00,1998/6/30 0:00,2010/5/28 12:00,99050,Aur (County-equivalent),98026
1210,No,No,Yes,No,MH,1998/3/20 0:00,DR,Drought,"DROUGHT, CROP LOSSES",1998/1/17 0:00,1998/6/30 0:00,2010/5/28 12:00,99070,Bikini (County-equivalent),98026
1210,No,No,Yes,No,MH,1998/3/20 0:00,DR,Drought,"DROUGHT, CROP LOSSES",1998/1/17 0:00,1998/6/30 0:00,2010/5/28 12:00,99080,Ebon (County-equivalent),98026
1210,No,No,Yes,No,MH,1998/3/20 0:00,DR,Drought,"DROUGHT, CROP LOSSES",1998/1/17 0:00,1998/6/30 0:00,2010/5/28 12:00,99090,Enewetak (County-equivalent),98026
1210,No,No,Yes,No,MH,1998/3/20 0:00,DR,Drought,"DROUGHT, CROP LOSSES",1998/1/17 0:00,1998/6/30 0:00,2010/5/28 12:00,99110,Jabat (County-equivalent),98026
1210,No,No,Yes,No,MH,1998/3/20 0:00,DR,Drought,"DROUGHT, CROP LOSSES",1998/1/17 0:00,1998/6/30 0:00,2010/5/28 12:00,99120,Jaluit (County-equivalent),98026
1210,No,No,Yes,No,MH,1998/3/20 0:00,DR,Drought,"DROUGHT, CROP LOSSES",1998/1/17 0:00,1998/6/30 0:00,2010/5/28 12:00,99140,Kili (County-equivalent),98026
1210,No,No,Yes,No,MH,1998/3/20 0:00,DR,Drought,"DROUGHT, CROP LOSSES",1998/1/17 0:00,1998/6/30 0:00,2010/5/28 12:00,99150,Kwajalein (County-equivalent),98026
1210,No,No,Yes,No,MH,1998/3/20 0:00,DR,Drought,"DROUGHT, CROP LOSSES",1998/1/17 0:00,1998/6/30 0:00,2010/5/28 12:00,99160,Lae (County-equivalent),98026
1210,No,No,Yes,No,MH,1998/3/20 0:00,DR,Drought,"DROUGHT, CROP LOSSES",1998/1/17 0:00,1998/6/30 0:00,2010/5/28 12:00,99170,Lib (County-equivalent),98026
1210,No,No,Yes,No,MH,1998/3/20 0:00,DR,Drought,"DROUGHT, CROP LOSSES",1998/1/17 0:00,1998/6/30 0:00,2010/5/28 12:00,99180,Likiep (County-equivalent),98026
1210,No,No,Yes,No,MH,1998/3/20 0:00,DR,Drought,"DROUGHT, CROP LOSSES",1998/1/17 0:00,1998/6/30 0:00,2010/5/28 12:00,99190,Majuro (County-equivalent),98026
