Disaster Number,IH Program Declared,IA Program Declared,PA Program Declared,HM Program Declared,State,Declaration Date,Disaster Type,Incident Type,Title,Incident Begin Date,Incident End Date,Disaster Close Out Date,Place Code,Declared County/Area,Declaration Request Number
4413,Yes,No,Yes,Yes,AK,2019/1/31 16:19,DR,Earthquake,EARTHQUAKE,2018/11/30 21:30,2018/11/30 23:59,,99020,Anchorage (Borough),19001
4413,Yes,No,Yes,Yes,AK,2019/1/31 16:19,DR,Earthquake,EARTHQUAKE,2018/11/30 21:30,2018/11/30 23:59,,99122,Kenai Peninsula (Borough),19001
4413,Yes,No,Yes,Yes,AK,2019/1/31 16:19,DR,Earthquake,EARTHQUAKE,2018/11/30 21:30,2018/11/30 23:59,,99170,Matanuska-Susitna (Borough),19001
3410,No,No,Yes,No,AK,2018/11/30 18:15,EM,Earthquake,EARTHQUAKE,2018/11/30 0:00,2018/11/30 23:59,,99020,Anchorage (Borough),18133
3410,No,No,Yes,No,AK,2018/11/30 18:15,EM,Earthquake,EARTHQUAKE,2018/11/30 0:00,2018/11/30 23:59,,99122,Kenai Peninsula (Borough),18133
3410,No,No,Yes,No,AK,2018/11/30 18:15,EM,Earthquake,EARTHQUAKE,2018/11/30 0:00,2018/11/30 23:59,,99170,Matanuska-Susitna (Borough),18133
4193,Yes,No,Yes,Yes,CA,2014/9/11 19:27,DR,Earthquake,EARTHQUAKE,2014/8/24 0:00,2014/9/7 23:59,,99055,Napa (County),14076
4193,Yes,No,Yes,Yes,CA,2014/9/11 19:27,DR,Earthquake,EARTHQUAKE,2014/8/24 0:00,2014/9/7 23:59,,99095,Solano (County),14076
4044,No,No,Yes,Yes,DC,2011/11/8 14:51,DR,Earthquake,EARTHQUAKE,2011/8/23 0:01,2011/8/28 23:59,,99001,District of Columbia (County-equivalent),11254
4042,Yes,No,Yes,Yes,VA,2011/11/4 17:58,DR,Earthquake,EARTHQUAKE,2011/8/23 13:51,2011/10/25 0:00,,29744,Fredericksburg,11246
4042,Yes,No,Yes,Yes,VA,2011/11/4 17:58,DR,Earthquake,EARTHQUAKE,2011/8/23 13:51,2011/10/25 0:00,,99003,Albemarle (County),11246
4042,Yes,No,Yes,Yes,VA,2011/11/4 17:58,DR,Earthquake,EARTHQUAKE,2011/8/23 13:51,2011/10/25 0:00,,99047,Culpeper (County),11246
4042,Yes,No,Yes,Yes,VA,2011/11/4 17:58,DR,Earthquake,EARTHQUAKE,2011/8/23 13:51,2011/10/25 0:00,,99065,Fluvanna (County),11246
4042,Yes,No,Yes,Yes,VA,2011/11/4 17:58,DR,Earthquake,EARTHQUAKE,2011/8/23 13:51,2011/10/25 0:00,,99075,Goochland (County),11246
4042,Yes,No,Yes,Yes,VA,2011/11/4 17:58,DR,Earthquake,EARTHQUAKE,2011/8/23 13:51,2011/10/25 0:00,,99099,King George (County),11246
4042,Yes,No,Yes,Yes,VA,2011/11/4 17:58,DR,Earthquake,EARTHQUAKE,2011/8/23 13:51,2011/10/25 0:00,,99109,Louisa (County),11246
4042,Yes,No,Yes,Yes,VA,2011/11/4 17:58,DR,Earthquake,EARTHQUAKE,2011/8/23 13:51,2011/10/25 0:00,,99131,Northampton (County),11246
4042,Yes,No,Yes,Yes,VA,2011/11/4 17:58,DR,Earthquake,EARTHQUAKE,2011/8/23 13:51,2011/10/25 0:00,,99137,Orange (County),11246
4042,Yes,No,Yes,Yes,VA,2011/11/4 17:58,DR,Earthquake,EARTHQUAKE,2011/8/23 13:51,2011/10/25 0:00,,99177,Spotsylvania (County),11246
1911,No,No,Yes,Yes,CA,2010/5/7 18:15,DR,Earthquake,EARTHQUAKE,2010/4/4 17:40,2010/7/4 12:00,,99025,Imperial (County),10047
1859,Yes,No,Yes,Yes,AS,2009/9/29 21:55,DR,Earthquake,"EARTHQUAKE,TSUNAMI, AND FLOODING",2009/9/29 6:00,2009/10/6 0:00,,99010,Eastern (District),9114
1859,Yes,No,Yes,Yes,AS,2009/9/29 21:55,DR,Earthquake,"EARTHQUAKE,TSUNAMI, AND FLOODING",2009/9/29 6:00,2009/10/6 0:00,,99020,Manu'a (District),9114
1859,Yes,No,Yes,Yes,AS,2009/9/29 21:55,DR,Earthquake,"EARTHQUAKE,TSUNAMI, AND FLOODING",2009/9/29 6:00,2009/10/6 0:00,,99030,Rose Island (Island) (County-equivalent),9114
1859,Yes,No,Yes,Yes,AS,2009/9/29 21:55,DR,Earthquake,"EARTHQUAKE,TSUNAMI, AND FLOODING",2009/9/29 6:00,2009/10/6 0:00,,99040,Swains Island (Island) (County-equivalent),9114
1859,Yes,No,Yes,Yes,AS,2009/9/29 21:55,DR,Earthquake,"EARTHQUAKE,TSUNAMI, AND FLOODING",2009/9/29 6:00,2009/10/6 0:00,,99050,Western (District),9114
1664,Yes,Yes,Yes,Yes,HI,2006/10/17 16:48,DR,Earthquake,EARTHQUAKE,2006/10/15 14:00,2007/1/15 17:48,,99001,Hawaii (County),6163
1664,Yes,Yes,Yes,Yes,HI,2006/10/17 16:48,DR,Earthquake,EARTHQUAKE,2006/10/15 14:00,2007/1/15 17:48,,99003,Honolulu (County),6163
1664,Yes,Yes,Yes,Yes,HI,2006/10/17 16:48,DR,Earthquake,EARTHQUAKE,2006/10/15 14:00,2007/1/15 17:48,,99007,Kauai (County),6163
1664,Yes,Yes,Yes,Yes,HI,2006/10/17 16:48,DR,Earthquake,EARTHQUAKE,2006/10/15 14:00,2007/1/15 17:48,,99009,Maui (County),6163
1505,Yes,Yes,Yes,Yes,CA,2004/1/13 0:00,DR,Earthquake,EARTHQUAKE,2003/12/22 14:15,2004/2/6 0:00,2018/12/17 23:59,99079,San Luis Obispo (County),4001
1505,Yes,Yes,Yes,Yes,CA,2004/1/13 0:00,DR,Earthquake,EARTHQUAKE,2003/12/22 14:15,2004/2/6 0:00,2018/12/17 23:59,99083,Santa Barbara (County),4001
1440,Yes,Yes,Yes,Yes,AK,2002/11/8 19:25,DR,Earthquake,EARTHQUAKE,2002/11/3 0:55,2002/11/10 0:00,2013/9/30 23:59,99068,Denali (Borough),2145
1440,Yes,Yes,Yes,Yes,AK,2002/11/8 19:25,DR,Earthquake,EARTHQUAKE,2002/11/3 0:55,2002/11/10 0:00,2013/9/30 23:59,99090,Fairbanks North Star (Borough),2145
1440,Yes,Yes,Yes,Yes,AK,2002/11/8 19:25,DR,Earthquake,EARTHQUAKE,2002/11/3 0:55,2002/11/10 0:00,2013/9/30 23:59,99170,Matanuska-Susitna (Borough),2145
1440,Yes,Yes,Yes,Yes,AK,2002/11/8 19:25,DR,Earthquake,EARTHQUAKE,2002/11/3 0:55,2002/11/10 0:00,2013/9/30 23:59,99240,Southeast Fairbanks (Census Area),2145
1440,Yes,Yes,Yes,Yes,AK,2002/11/8 19:25,DR,Earthquake,EARTHQUAKE,2002/11/3 0:55,2002/11/10 0:00,2013/9/30 23:59,99261,Valdez-Cordova (Census Area),2145
1440,Yes,Yes,Yes,Yes,AK,2002/11/8 19:25,DR,Earthquake,EARTHQUAKE,2002/11/3 0:55,2002/11/10 0:00,2013/9/30 23:59,99290,Yukon-Koyukuk (Census Area),2145
1415,No,Yes,No,Yes,NY,2002/5/16 12:00,DR,Earthquake,EARTHQUAKE,2002/4/20 6:50,2002/4/20 0:00,2010/12/21 0:00,99019,Clinton (County),2041
1415,No,Yes,No,Yes,NY,2002/5/16 12:00,DR,Earthquake,EARTHQUAKE,2002/4/20 6:50,2002/4/20 0:00,2010/12/21 0:00,99031,Essex (County),2041
1415,No,Yes,No,Yes,NY,2002/5/16 12:00,DR,Earthquake,EARTHQUAKE,2002/4/20 6:50,2002/4/20 0:00,2010/12/21 0:00,99033,Franklin (County),2041
1415,No,Yes,No,Yes,NY,2002/5/16 12:00,DR,Earthquake,EARTHQUAKE,2002/4/20 6:50,2002/4/20 0:00,2010/12/21 0:00,99041,Hamilton (County),2041
1415,No,Yes,No,Yes,NY,2002/5/16 12:00,DR,Earthquake,EARTHQUAKE,2002/4/20 6:50,2002/4/20 0:00,2010/12/21 0:00,99113,Warren (County),2041
1415,No,Yes,No,Yes,NY,2002/5/16 12:00,DR,Earthquake,EARTHQUAKE,2002/4/20 6:50,2002/4/20 0:00,2010/12/21 0:00,99115,Washington (County),2041
1397,No,No,Yes,Yes,GU,2001/12/5 7:00,DR,Earthquake,EARTHQUAKE,2001/10/13 14:15,2001/10/13 0:00,2010/6/21 0:00,99010,Guam (County-equivalent),1110
1361,No,Yes,Yes,Yes,WA,2001/3/1 20:30,DR,Earthquake,EARTHQUAKE,2001/2/28 8:54,2001/3/16 0:00,2011/10/25 0:00,99005,Benton (County),1025
1361,No,Yes,Yes,Yes,WA,2001/3/1 20:30,DR,Earthquake,EARTHQUAKE,2001/2/28 8:54,2001/3/16 0:00,2011/10/25 0:00,99007,Chelan (County),1025
1361,No,Yes,Yes,Yes,WA,2001/3/1 20:30,DR,Earthquake,EARTHQUAKE,2001/2/28 8:54,2001/3/16 0:00,2011/10/25 0:00,99009,Clallam (County),1025
1361,No,Yes,Yes,Yes,WA,2001/3/1 20:30,DR,Earthquake,EARTHQUAKE,2001/2/28 8:54,2001/3/16 0:00,2011/10/25 0:00,99011,Clark (County),1025
1361,No,Yes,Yes,Yes,WA,2001/3/1 20:30,DR,Earthquake,EARTHQUAKE,2001/2/28 8:54,2001/3/16 0:00,2011/10/25 0:00,99015,Cowlitz (County),1025
1361,No,Yes,Yes,Yes,WA,2001/3/1 20:30,DR,Earthquake,EARTHQUAKE,2001/2/28 8:54,2001/3/16 0:00,2011/10/25 0:00,99017,Douglas (County),1025
1361,No,Yes,Yes,Yes,WA,2001/3/1 20:30,DR,Earthquake,EARTHQUAKE,2001/2/28 8:54,2001/3/16 0:00,2011/10/25 0:00,99027,Grays Harbor (County),1025
1361,No,Yes,Yes,Yes,WA,2001/3/1 20:30,DR,Earthquake,EARTHQUAKE,2001/2/28 8:54,2001/3/16 0:00,2011/10/25 0:00,99029,Island (County),1025
