Disaster Number,IH Program Declared,IA Program Declared,PA Program Declared,HM Program Declared,State,Declaration Date,Disaster Type,Incident Type,Title,Incident Begin Date,Incident End Date,Disaster Close Out Date,Place Code,Declared County/Area,Declaration Request Number
4407,Yes,No,Yes,Yes,CA,2018/11/12 20:28,DR,Fire,WILDFIRES,2018/11/8 0:00,2018/11/25 23:59,,99007,Butte (County),18127
4407,Yes,No,Yes,Yes,CA,2018/11/12 20:28,DR,Fire,WILDFIRES,2018/11/8 0:00,2018/11/25 23:59,,99037,Los Angeles (County),18127
4407,Yes,No,Yes,Yes,CA,2018/11/12 20:28,DR,Fire,WILDFIRES,2018/11/8 0:00,2018/11/25 23:59,,99111,Ventura (County),18127
3409,No,No,Yes,No,CA,2018/11/9 16:50,EM,Fire,WILDFIRES,2018/11/8 0:00,2018/11/25 23:59,,99007,Butte (County),18126
3409,No,No,Yes,No,CA,2018/11/9 16:50,EM,Fire,WILDFIRES,2018/11/8 0:00,2018/11/25 23:59,,99037,Los Angeles (County),18126
3409,No,No,Yes,No,CA,2018/11/9 16:50,EM,Fire,WILDFIRES,2018/11/8 0:00,2018/11/25 23:59,,99111,Ventura (County),18126
4382,Yes,No,Yes,Yes,CA,2018/8/4 21:46,DR,Fire,WILDFIRES AND HIGH WINDS,2018/7/23 16:20,2018/9/19 23:59,,99033,Lake (County),18078
4382,Yes,No,Yes,Yes,CA,2018/8/4 21:46,DR,Fire,WILDFIRES AND HIGH WINDS,2018/7/23 16:20,2018/9/19 23:59,,99089,Shasta (County),18078
3398,No,No,Yes,No,CA,2018/7/28 9:40,EM,Fire,WILDFIRE,2018/7/23 16:20,,,99089,Shasta (County),18069
4373,No,No,Yes,Yes,OK,2018/6/25 9:21,DR,Fire,WILDFIRES,2018/4/11 14:25,2018/4/20 23:59,,99039,Custer (County),18034
4373,No,No,Yes,Yes,OK,2018/6/25 9:21,DR,Fire,WILDFIRES,2018/4/11 14:25,2018/4/20 23:59,,99043,Dewey (County),18034
4373,No,No,Yes,Yes,OK,2018/6/25 9:21,DR,Fire,WILDFIRES,2018/4/11 14:25,2018/4/20 23:59,,99057,Harmon (County),18034
4373,No,No,Yes,Yes,OK,2018/6/25 9:21,DR,Fire,WILDFIRES,2018/4/11 14:25,2018/4/20 23:59,,99129,Roger Mills (County),18034
4373,No,No,Yes,Yes,OK,2018/6/25 9:21,DR,Fire,WILDFIRES,2018/4/11 14:25,2018/4/20 23:59,,99153,Woodward (County),18034
4353,Yes,No,Yes,Yes,CA,2018/1/2 11:00,DR,Fire,"WILDFIRES, FLOODING, MUDFLOWS, AND DEBRIS FLOWS",2017/12/4 18:00,2018/1/31 23:59,,99037,Los Angeles (County),18001
4353,Yes,No,Yes,Yes,CA,2018/1/2 11:00,DR,Fire,"WILDFIRES, FLOODING, MUDFLOWS, AND DEBRIS FLOWS",2017/12/4 18:00,2018/1/31 23:59,,99073,San Diego (County),18001
