Disaster Number,IH Program Declared,IA Program Declared,PA Program Declared,HM Program Declared,State,Declaration Date,Disaster Type,Incident Type,Title,Incident Begin Date,Incident End Date,Disaster Close Out Date,Place Code,Declared County/Area,Declaration Request Number
4104,No,No,Yes,Yes,AZ,2013/3/5 14:00,DR,Freezing,SEVERE FREEZE,2012/12/15 0:00,2013/1/21 9:00,,48845,Navajo Nation Reservation (Also NM and UT),13006
1689,No,Yes,No,Yes,CA,2007/3/13 22:20,DR,Freezing,SEVERE FREEZE,2007/1/11 11:35,2007/1/17 0:00,2014/1/8 0:00,99019,Fresno (County),7795
1689,No,Yes,No,Yes,CA,2007/3/13 22:20,DR,Freezing,SEVERE FREEZE,2007/1/11 11:35,2007/1/17 0:00,2014/1/8 0:00,99025,Imperial (County),7795
1689,No,Yes,No,Yes,CA,2007/3/13 22:20,DR,Freezing,SEVERE FREEZE,2007/1/11 11:35,2007/1/17 0:00,2014/1/8 0:00,99029,Kern (County),7795
1689,No,Yes,No,Yes,CA,2007/3/13 22:20,DR,Freezing,SEVERE FREEZE,2007/1/11 11:35,2007/1/17 0:00,2014/1/8 0:00,99031,Kings (County),7795
1689,No,Yes,No,Yes,CA,2007/3/13 22:20,DR,Freezing,SEVERE FREEZE,2007/1/11 11:35,2007/1/17 0:00,2014/1/8 0:00,99037,Los Angeles (County),7795
1689,No,Yes,No,Yes,CA,2007/3/13 22:20,DR,Freezing,SEVERE FREEZE,2007/1/11 11:35,2007/1/17 0:00,2014/1/8 0:00,99039,Madera (County),7795
1689,No,Yes,No,Yes,CA,2007/3/13 22:20,DR,Freezing,SEVERE FREEZE,2007/1/11 11:35,2007/1/17 0:00,2014/1/8 0:00,99047,Merced (County),7795
1689,No,Yes,No,Yes,CA,2007/3/13 22:20,DR,Freezing,SEVERE FREEZE,2007/1/11 11:35,2007/1/17 0:00,2014/1/8 0:00,99053,Monterey (County),7795
1689,No,Yes,No,Yes,CA,2007/3/13 22:20,DR,Freezing,SEVERE FREEZE,2007/1/11 11:35,2007/1/17 0:00,2014/1/8 0:00,99065,Riverside (County),7795
1689,No,Yes,No,Yes,CA,2007/3/13 22:20,DR,Freezing,SEVERE FREEZE,2007/1/11 11:35,2007/1/17 0:00,2014/1/8 0:00,99071,San Bernardino (County),7795
1689,No,Yes,No,Yes,CA,2007/3/13 22:20,DR,Freezing,SEVERE FREEZE,2007/1/11 11:35,2007/1/17 0:00,2014/1/8 0:00,99073,San Diego (County),7795
1689,No,Yes,No,Yes,CA,2007/3/13 22:20,DR,Freezing,SEVERE FREEZE,2007/1/11 11:35,2007/1/17 0:00,2014/1/8 0:00,99079,San Luis Obispo (County),7795
1689,No,Yes,No,Yes,CA,2007/3/13 22:20,DR,Freezing,SEVERE FREEZE,2007/1/11 11:35,2007/1/17 0:00,2014/1/8 0:00,99083,Santa Barbara (County),7795
1689,No,Yes,No,Yes,CA,2007/3/13 22:20,DR,Freezing,SEVERE FREEZE,2007/1/11 11:35,2007/1/17 0:00,2014/1/8 0:00,99099,Stanislaus (County),7795
1689,No,Yes,No,Yes,CA,2007/3/13 22:20,DR,Freezing,SEVERE FREEZE,2007/1/11 11:35,2007/1/17 0:00,2014/1/8 0:00,99107,Tulare (County),7795
1689,No,Yes,No,Yes,CA,2007/3/13 22:20,DR,Freezing,SEVERE FREEZE,2007/1/11 11:35,2007/1/17 0:00,2014/1/8 0:00,99111,Ventura (County),7795
1468,No,No,Yes,Yes,ME,2003/5/14 17:32,DR,Freezing,SEVERE WINTER COLD AND FROST,2002/12/17 0:01,2003/6/1 0:00,2010/8/19 0:00,99001,Androscoggin (County),3035
1468,No,No,Yes,Yes,ME,2003/5/14 17:32,DR,Freezing,SEVERE WINTER COLD AND FROST,2002/12/17 0:01,2003/6/1 0:00,2010/8/19 0:00,99003,Aroostook (County),3035
