Disaster Number,IH Program Declared,IA Program Declared,PA Program Declared,HM Program Declared,State,Declaration Date,Disaster Type,Incident Type,Title,Incident Begin Date,Incident End Date,Disaster Close Out Date,Place Code,Declared County/Area,Declaration Request Number
4412,No,No,Yes,Yes,NC,2019/1/31 16:30,DR,Hurricane,TROPICAL STORM MICHAEL,2018/10/10 8:38,2018/10/12 23:59,,99001,Alamance (County),18135
4412,No,No,Yes,Yes,NC,2019/1/31 16:30,DR,Hurricane,TROPICAL STORM MICHAEL,2018/10/10 8:38,2018/10/12 23:59,,99019,Brunswick (County),18135
4412,No,No,Yes,Yes,NC,2019/1/31 16:30,DR,Hurricane,TROPICAL STORM MICHAEL,2018/10/10 8:38,2018/10/12 23:59,,99033,Caswell (County),18135
4412,No,No,Yes,Yes,NC,2019/1/31 16:30,DR,Hurricane,TROPICAL STORM MICHAEL,2018/10/10 8:38,2018/10/12 23:59,,99037,Chatham (County),18135
4412,No,No,Yes,Yes,NC,2019/1/31 16:30,DR,Hurricane,TROPICAL STORM MICHAEL,2018/10/10 8:38,2018/10/12 23:59,,99055,Dare (County),18135
4412,No,No,Yes,Yes,NC,2019/1/31 16:30,DR,Hurricane,TROPICAL STORM MICHAEL,2018/10/10 8:38,2018/10/12 23:59,,99057,Davidson (County),18135
4412,No,No,Yes,Yes,NC,2019/1/31 16:30,DR,Hurricane,TROPICAL STORM MICHAEL,2018/10/10 8:38,2018/10/12 23:59,,99059,Davie (County),18135
4412,No,No,Yes,Yes,NC,2019/1/31 16:30,DR,Hurricane,TROPICAL STORM MICHAEL,2018/10/10 8:38,2018/10/12 23:59,,99067,Forsyth (County),18135
4412,No,No,Yes,Yes,NC,2019/1/31 16:30,DR,Hurricane,TROPICAL STORM MICHAEL,2018/10/10 8:38,2018/10/12 23:59,,99077,Granville (County),18135
4412,No,No,Yes,Yes,NC,2019/1/31 16:30,DR,Hurricane,TROPICAL STORM MICHAEL,2018/10/10 8:38,2018/10/12 23:59,,99095,Hyde (County),18135
4412,No,No,Yes,Yes,NC,2019/1/31 16:30,DR,Hurricane,TROPICAL STORM MICHAEL,2018/10/10 8:38,2018/10/12 23:59,,99097,Iredell (County),18135
4412,No,No,Yes,Yes,NC,2019/1/31 16:30,DR,Hurricane,TROPICAL STORM MICHAEL,2018/10/10 8:38,2018/10/12 23:59,,99111,McDowell (County),18135
4412,No,No,Yes,Yes,NC,2019/1/31 16:30,DR,Hurricane,TROPICAL STORM MICHAEL,2018/10/10 8:38,2018/10/12 23:59,,99123,Montgomery (County),18135
4412,No,No,Yes,Yes,NC,2019/1/31 16:30,DR,Hurricane,TROPICAL STORM MICHAEL,2018/10/10 8:38,2018/10/12 23:59,,99135,Orange (County),18135
4412,No,No,Yes,Yes,NC,2019/1/31 16:30,DR,Hurricane,TROPICAL STORM MICHAEL,2018/10/10 8:38,2018/10/12 23:59,,99145,Person (County),18135
4412,No,No,Yes,Yes,NC,2019/1/31 16:30,DR,Hurricane,TROPICAL STORM MICHAEL,2018/10/10 8:38,2018/10/12 23:59,,99151,Randolph (County),18135
4412,No,No,Yes,Yes,NC,2019/1/31 16:30,DR,Hurricane,TROPICAL STORM MICHAEL,2018/10/10 8:38,2018/10/12 23:59,,99157,Rockingham (County),18135
4412,No,No,Yes,Yes,NC,2019/1/31 16:30,DR,Hurricane,TROPICAL STORM MICHAEL,2018/10/10 8:38,2018/10/12 23:59,,99169,Stokes (County),18135
