Disaster Number,IH Program Declared,IA Program Declared,PA Program Declared,HM Program Declared,State,Declaration Date,Disaster Type,Incident Type,Title,Incident Begin Date,Incident End Date,Disaster Close Out Date,Place Code,Declared County/Area,Declaration Request Number
4136,No,No,Yes,Yes,TX,2013/8/2 9:10,DR,Other,EXPLOSION,2013/4/17 0:00,2013/4/20 0:00,,99309,McLennan (County),13025
3363,Yes,No,Yes,No,TX,2013/4/19 20:15,EM,Other,EXPLOSION,2013/4/17 20:00,2013/4/20 0:00,2015/10/28 23:59,99309,McLennan (County),13015
3312,No,No,Yes,No,MA,2010/5/3 11:27,EM,Other,WATER MAIN BREAK,2010/5/1 10:30,2010/5/5 0:00,2012/11/6 0:00,99009,"Essex (County)(in PMSA 1120,4160,7090)",10052
3312,No,No,Yes,No,MA,2010/5/3 11:27,EM,Other,WATER MAIN BREAK,2010/5/1 10:30,2010/5/5 0:00,2012/11/6 0:00,99017,"Middlesex (County)(in (P)MSA 1120,2600,4560)",10052
3312,No,No,Yes,No,MA,2010/5/3 11:27,EM,Other,WATER MAIN BREAK,2010/5/1 10:30,2010/5/5 0:00,2012/11/6 0:00,99021,"Norfolk (County)(in PMSA 1120,1200,6060)",10052
3312,No,No,Yes,No,MA,2010/5/3 11:27,EM,Other,WATER MAIN BREAK,2010/5/1 10:30,2010/5/5 0:00,2012/11/6 0:00,99025,Suffolk (County),10052
3300,No,No,Yes,No,DC,2009/1/13 14:00,EM,Other,56TH PRESIDENTIAL INAUGURATION,2009/1/17 0:00,2009/1/21 0:00,2012/1/30 0:00,99001,District of Columbia (County-equivalent),9005
3278,No,No,Yes,No,MN,2007/8/21 11:20,EM,Other,BRIDGE COLLAPSE,2007/8/1 18:07,2007/8/15 0:00,2012/3/14 0:00,99053,Hennepin (County),7890
3187,No,No,Yes,No,OH,2003/9/23 0:00,EM,Other,POWER OUTAGE,2003/8/14 15:00,2003/8/17 12:00,2009/9/18 0:00,99005,Ashland (County),3096
3187,No,No,Yes,No,OH,2003/9/23 0:00,EM,Other,POWER OUTAGE,2003/8/14 15:00,2003/8/17 12:00,2009/9/18 0:00,99007,Ashtabula (County),3096
3187,No,No,Yes,No,OH,2003/9/23 0:00,EM,Other,POWER OUTAGE,2003/8/14 15:00,2003/8/17 12:00,2009/9/18 0:00,99035,Cuyahoga (County),3096
3187,No,No,Yes,No,OH,2003/9/23 0:00,EM,Other,POWER OUTAGE,2003/8/14 15:00,2003/8/17 12:00,2009/9/18 0:00,99043,Erie (County),3096
3187,No,No,Yes,No,OH,2003/9/23 0:00,EM,Other,POWER OUTAGE,2003/8/14 15:00,2003/8/17 12:00,2009/9/18 0:00,99055,Geauga (County),3096
3187,No,No,Yes,No,OH,2003/9/23 0:00,EM,Other,POWER OUTAGE,2003/8/14 15:00,2003/8/17 12:00,2009/9/18 0:00,99077,Huron (County),3096
3187,No,No,Yes,No,OH,2003/9/23 0:00,EM,Other,POWER OUTAGE,2003/8/14 15:00,2003/8/17 12:00,2009/9/18 0:00,99083,Knox (County),3096
3187,No,No,Yes,No,OH,2003/9/23 0:00,EM,Other,POWER OUTAGE,2003/8/14 15:00,2003/8/17 12:00,2009/9/18 0:00,99085,Lake (County),3096
3187,No,No,Yes,No,OH,2003/9/23 0:00,EM,Other,POWER OUTAGE,2003/8/14 15:00,2003/8/17 12:00,2009/9/18 0:00,99093,Lorain (County),3096
3187,No,No,Yes,No,OH,2003/9/23 0:00,EM,Other,POWER OUTAGE,2003/8/14 15:00,2003/8/17 12:00,2009/9/18 0:00,99095,Lucas (County),3096
3187,No,No,Yes,No,OH,2003/9/23 0:00,EM,Other,POWER OUTAGE,2003/8/14 15:00,2003/8/17 12:00,2009/9/18 0:00,99133,Portage (County),3096
3187,No,No,Yes,No,OH,2003/9/23 0:00,EM,Other,POWER OUTAGE,2003/8/14 15:00,2003/8/17 12:00,2009/9/18 0:00,99153,Summit (County),3096
3187,No,No,Yes,No,OH,2003/9/23 0:00,EM,Other,POWER OUTAGE,2003/8/14 15:00,2003/8/17 12:00,2009/9/18 0:00,99155,Trumbull (County),3096
3188,No,No,Yes,No,NJ,2003/9/23 0:00,EM,Other,POWER OUTAGE,2003/8/14 16:10,2003/8/16 0:00,2010/11/5 0:00,99003,Bergen (County),3099
3188,No,No,Yes,No,NJ,2003/9/23 0:00,EM,Other,POWER OUTAGE,2003/8/14 16:10,2003/8/16 0:00,2010/11/5 0:00,99013,Essex (County),3099
3188,No,No,Yes,No,NJ,2003/9/23 0:00,EM,Other,POWER OUTAGE,2003/8/14 16:10,2003/8/16 0:00,2010/11/5 0:00,99017,Hudson (County),3099
3188,No,No,Yes,No,NJ,2003/9/23 0:00,EM,Other,POWER OUTAGE,2003/8/14 16:10,2003/8/16 0:00,2010/11/5 0:00,99031,Passaic (County),3099
3188,No,No,Yes,No,NJ,2003/9/23 0:00,EM,Other,POWER OUTAGE,2003/8/14 16:10,2003/8/16 0:00,2010/11/5 0:00,99039,Union (County),3099
3189,No,No,Yes,No,MI,2003/9/23 0:00,EM,Other,POWER OUTAGE,2003/8/14 15:00,2003/8/17 0:00,2008/5/20 0:00,99025,Calhoun (County),3103
3189,No,No,Yes,No,MI,2003/9/23 0:00,EM,Other,POWER OUTAGE,2003/8/14 15:00,2003/8/17 0:00,2008/5/20 0:00,99045,Eaton (County),3103
3189,No,No,Yes,No,MI,2003/9/23 0:00,EM,Other,POWER OUTAGE,2003/8/14 15:00,2003/8/17 0:00,2008/5/20 0:00,99049,Genesee (County),3103
3189,No,No,Yes,No,MI,2003/9/23 0:00,EM,Other,POWER OUTAGE,2003/8/14 15:00,2003/8/17 0:00,2008/5/20 0:00,99059,Hillsdale (County),3103
3189,No,No,Yes,No,MI,2003/9/23 0:00,EM,Other,POWER OUTAGE,2003/8/14 15:00,2003/8/17 0:00,2008/5/20 0:00,99065,Ingham (County),3103
3189,No,No,Yes,No,MI,2003/9/23 0:00,EM,Other,POWER OUTAGE,2003/8/14 15:00,2003/8/17 0:00,2008/5/20 0:00,99077,Kalamazoo (County),3103
3189,No,No,Yes,No,MI,2003/9/23 0:00,EM,Other,POWER OUTAGE,2003/8/14 15:00,2003/8/17 0:00,2008/5/20 0:00,99087,Lapeer (County),3103
3189,No,No,Yes,No,MI,2003/9/23 0:00,EM,Other,POWER OUTAGE,2003/8/14 15:00,2003/8/17 0:00,2008/5/20 0:00,99093,Livingston (County),3103
3189,No,No,Yes,No,MI,2003/9/23 0:00,EM,Other,POWER OUTAGE,2003/8/14 15:00,2003/8/17 0:00,2008/5/20 0:00,99099,Macomb (County),3103
3189,No,No,Yes,No,MI,2003/9/23 0:00,EM,Other,POWER OUTAGE,2003/8/14 15:00,2003/8/17 0:00,2008/5/20 0:00,99115,Monroe (County),3103
3189,No,No,Yes,No,MI,2003/9/23 0:00,EM,Other,POWER OUTAGE,2003/8/14 15:00,2003/8/17 0:00,2008/5/20 0:00,99125,Oakland (County),3103
3189,No,No,Yes,No,MI,2003/9/23 0:00,EM,Other,POWER OUTAGE,2003/8/14 15:00,2003/8/17 0:00,2008/5/20 0:00,99147,St. Clair (County),3103
3189,No,No,Yes,No,MI,2003/9/23 0:00,EM,Other,POWER OUTAGE,2003/8/14 15:00,2003/8/17 0:00,2008/5/20 0:00,99161,Washtenaw (County),3103
3189,No,No,Yes,No,MI,2003/9/23 0:00,EM,Other,POWER OUTAGE,2003/8/14 15:00,2003/8/17 0:00,2008/5/20 0:00,99163,Wayne (County),3103
3186,No,No,Yes,No,NY,2003/8/23 16:30,EM,Other,POWER OUTAGE,2003/8/14 16:10,2003/8/16 16:30,2011/3/3 0:00,0,Statewide,3093
3186,No,No,Yes,No,NY,2003/8/23 16:30,EM,Other,POWER OUTAGE,2003/8/14 16:10,2003/8/16 16:30,2011/3/3 0:00,13095,Cayuga Nation (TDSA),3093
3186,No,No,Yes,No,NY,2003/8/23 16:30,EM,Other,POWER OUTAGE,2003/8/14 16:10,2003/8/16 16:30,2011/3/3 0:00,54862,Oneida (East) Indian Reservation,3093
3186,No,No,Yes,No,NY,2003/8/23 16:30,EM,Other,POWER OUTAGE,2003/8/14 16:10,2003/8/16 16:30,2011/3/3 0:00,99001,Albany (County),3093
3186,No,No,Yes,No,NY,2003/8/23 16:30,EM,Other,POWER OUTAGE,2003/8/14 16:10,2003/8/16 16:30,2011/3/3 0:00,99003,Allegany (County),3093
3186,No,No,Yes,No,NY,2003/8/23 16:30,EM,Other,POWER OUTAGE,2003/8/14 16:10,2003/8/16 16:30,2011/3/3 0:00,99005,Bronx (County),3093
