Disaster Number,IH Program Declared,IA Program Declared,PA Program Declared,HM Program Declared,State,Declaration Date,Disaster Type,Incident Type,Title,Incident Begin Date,Incident End Date,Disaster Close Out Date,Place Code,Declared County/Area,Declaration Request Number
4304,No,No,Yes,Yes,KS,2017/2/24 9:50,DR,Severe Ice Storm,SEVERE WINTER STORM,2017/1/13 6:00,2017/1/16 6:00,,99009,Barton (County),17016
4304,No,No,Yes,Yes,KS,2017/2/24 9:50,DR,Severe Ice Storm,SEVERE WINTER STORM,2017/1/13 6:00,2017/1/16 6:00,,99025,Clark (County),17016
4304,No,No,Yes,Yes,KS,2017/2/24 9:50,DR,Severe Ice Storm,SEVERE WINTER STORM,2017/1/13 6:00,2017/1/16 6:00,,99033,Comanche (County),17016
4304,No,No,Yes,Yes,KS,2017/2/24 9:50,DR,Severe Ice Storm,SEVERE WINTER STORM,2017/1/13 6:00,2017/1/16 6:00,,99047,Edwards (County),17016
4304,No,No,Yes,Yes,KS,2017/2/24 9:50,DR,Severe Ice Storm,SEVERE WINTER STORM,2017/1/13 6:00,2017/1/16 6:00,,99053,Ellsworth (County),17016
4304,No,No,Yes,Yes,KS,2017/2/24 9:50,DR,Severe Ice Storm,SEVERE WINTER STORM,2017/1/13 6:00,2017/1/16 6:00,,99057,Ford (County),17016
4304,No,No,Yes,Yes,KS,2017/2/24 9:50,DR,Severe Ice Storm,SEVERE WINTER STORM,2017/1/13 6:00,2017/1/16 6:00,,99083,Hodgeman (County),17016
4304,No,No,Yes,Yes,KS,2017/2/24 9:50,DR,Severe Ice Storm,SEVERE WINTER STORM,2017/1/13 6:00,2017/1/16 6:00,,99089,Jewell (County),17016
4304,No,No,Yes,Yes,KS,2017/2/24 9:50,DR,Severe Ice Storm,SEVERE WINTER STORM,2017/1/13 6:00,2017/1/16 6:00,,99097,Kiowa (County),17016
4304,No,No,Yes,Yes,KS,2017/2/24 9:50,DR,Severe Ice Storm,SEVERE WINTER STORM,2017/1/13 6:00,2017/1/16 6:00,,99119,Meade (County),17016
4304,No,No,Yes,Yes,KS,2017/2/24 9:50,DR,Severe Ice Storm,SEVERE WINTER STORM,2017/1/13 6:00,2017/1/16 6:00,,99135,Ness (County),17016
4304,No,No,Yes,Yes,KS,2017/2/24 9:50,DR,Severe Ice Storm,SEVERE WINTER STORM,2017/1/13 6:00,2017/1/16 6:00,,99145,Pawnee (County),17016
4304,No,No,Yes,Yes,KS,2017/2/24 9:50,DR,Severe Ice Storm,SEVERE WINTER STORM,2017/1/13 6:00,2017/1/16 6:00,,99151,Pratt (County),17016
4304,No,No,Yes,Yes,KS,2017/2/24 9:50,DR,Severe Ice Storm,SEVERE WINTER STORM,2017/1/13 6:00,2017/1/16 6:00,,99159,Rice (County),17016
4304,No,No,Yes,Yes,KS,2017/2/24 9:50,DR,Severe Ice Storm,SEVERE WINTER STORM,2017/1/13 6:00,2017/1/16 6:00,,99165,Rush (County),17016
4304,No,No,Yes,Yes,KS,2017/2/24 9:50,DR,Severe Ice Storm,SEVERE WINTER STORM,2017/1/13 6:00,2017/1/16 6:00,,99167,Russell (County),17016
4304,No,No,Yes,Yes,KS,2017/2/24 9:50,DR,Severe Ice Storm,SEVERE WINTER STORM,2017/1/13 6:00,2017/1/16 6:00,,99175,Seward (County),17016
4304,No,No,Yes,Yes,KS,2017/2/24 9:50,DR,Severe Ice Storm,SEVERE WINTER STORM,2017/1/13 6:00,2017/1/16 6:00,,99179,Sheridan (County),17016
4304,No,No,Yes,Yes,KS,2017/2/24 9:50,DR,Severe Ice Storm,SEVERE WINTER STORM,2017/1/13 6:00,2017/1/16 6:00,,99185,Stafford (County),17016
4304,No,No,Yes,Yes,KS,2017/2/24 9:50,DR,Severe Ice Storm,SEVERE WINTER STORM,2017/1/13 6:00,2017/1/16 6:00,,99195,Trego (County),17016
4247,No,No,Yes,Yes,OK,2015/12/29 18:00,DR,Severe Ice Storm,SEVERE WINTER STORMS AND FLOODING,2015/11/27 0:00,2015/11/29 0:00,,99003,Alfalfa (County),15092
4247,No,No,Yes,Yes,OK,2015/12/29 18:00,DR,Severe Ice Storm,SEVERE WINTER STORMS AND FLOODING,2015/11/27 0:00,2015/11/29 0:00,,99009,Beckham (County),15092
4247,No,No,Yes,Yes,OK,2015/12/29 18:00,DR,Severe Ice Storm,SEVERE WINTER STORMS AND FLOODING,2015/11/27 0:00,2015/11/29 0:00,,99011,Blaine (County),15092
4247,No,No,Yes,Yes,OK,2015/12/29 18:00,DR,Severe Ice Storm,SEVERE WINTER STORMS AND FLOODING,2015/11/27 0:00,2015/11/29 0:00,,99013,Bryan (County),15092
4247,No,No,Yes,Yes,OK,2015/12/29 18:00,DR,Severe Ice Storm,SEVERE WINTER STORMS AND FLOODING,2015/11/27 0:00,2015/11/29 0:00,,99015,Caddo (County),15092
4247,No,No,Yes,Yes,OK,2015/12/29 18:00,DR,Severe Ice Storm,SEVERE WINTER STORMS AND FLOODING,2015/11/27 0:00,2015/11/29 0:00,,99017,Canadian (County),15092
4247,No,No,Yes,Yes,OK,2015/12/29 18:00,DR,Severe Ice Storm,SEVERE WINTER STORMS AND FLOODING,2015/11/27 0:00,2015/11/29 0:00,,99039,Custer (County),15092
4247,No,No,Yes,Yes,OK,2015/12/29 18:00,DR,Severe Ice Storm,SEVERE WINTER STORMS AND FLOODING,2015/11/27 0:00,2015/11/29 0:00,,99043,Dewey (County),15092
4247,No,No,Yes,Yes,OK,2015/12/29 18:00,DR,Severe Ice Storm,SEVERE WINTER STORMS AND FLOODING,2015/11/27 0:00,2015/11/29 0:00,,99045,Ellis (County),15092
4247,No,No,Yes,Yes,OK,2015/12/29 18:00,DR,Severe Ice Storm,SEVERE WINTER STORMS AND FLOODING,2015/11/27 0:00,2015/11/29 0:00,,99047,Garfield (County),15092
4247,No,No,Yes,Yes,OK,2015/12/29 18:00,DR,Severe Ice Storm,SEVERE WINTER STORMS AND FLOODING,2015/11/27 0:00,2015/11/29 0:00,,99051,Grady (County),15092
4247,No,No,Yes,Yes,OK,2015/12/29 18:00,DR,Severe Ice Storm,SEVERE WINTER STORMS AND FLOODING,2015/11/27 0:00,2015/11/29 0:00,,99053,Grant (County),15092
4247,No,No,Yes,Yes,OK,2015/12/29 18:00,DR,Severe Ice Storm,SEVERE WINTER STORMS AND FLOODING,2015/11/27 0:00,2015/11/29 0:00,,99055,Greer (County),15092
4247,No,No,Yes,Yes,OK,2015/12/29 18:00,DR,Severe Ice Storm,SEVERE WINTER STORMS AND FLOODING,2015/11/27 0:00,2015/11/29 0:00,,99073,Kingfisher (County),15092
4247,No,No,Yes,Yes,OK,2015/12/29 18:00,DR,Severe Ice Storm,SEVERE WINTER STORMS AND FLOODING,2015/11/27 0:00,2015/11/29 0:00,,99075,Kiowa (County),15092
4247,No,No,Yes,Yes,OK,2015/12/29 18:00,DR,Severe Ice Storm,SEVERE WINTER STORMS AND FLOODING,2015/11/27 0:00,2015/11/29 0:00,,99083,Logan (County),15092
4247,No,No,Yes,Yes,OK,2015/12/29 18:00,DR,Severe Ice Storm,SEVERE WINTER STORMS AND FLOODING,2015/11/27 0:00,2015/11/29 0:00,,99093,Major (County),15092
4247,No,No,Yes,Yes,OK,2015/12/29 18:00,DR,Severe Ice Storm,SEVERE WINTER STORMS AND FLOODING,2015/11/27 0:00,2015/11/29 0:00,,99109,Oklahoma (County),15092
4247,No,No,Yes,Yes,OK,2015/12/29 18:00,DR,Severe Ice Storm,SEVERE WINTER STORMS AND FLOODING,2015/11/27 0:00,2015/11/29 0:00,,99129,Roger Mills (County),15092
4247,No,No,Yes,Yes,OK,2015/12/29 18:00,DR,Severe Ice Storm,SEVERE WINTER STORMS AND FLOODING,2015/11/27 0:00,2015/11/29 0:00,,99149,Washita (County),15092
4247,No,No,Yes,Yes,OK,2015/12/29 18:00,DR,Severe Ice Storm,SEVERE WINTER STORMS AND FLOODING,2015/11/27 0:00,2015/11/29 0:00,,99151,Woods (County),15092
4215,No,No,Yes,Yes,GA,2015/4/20 12:40,DR,Severe Ice Storm,SEVERE WINTER STORM ,2015/2/15 0:01,2015/2/17 23:59,,99011,Banks (County),15012
4215,No,No,Yes,Yes,GA,2015/4/20 12:40,DR,Severe Ice Storm,SEVERE WINTER STORM ,2015/2/15 0:01,2015/2/17 23:59,,99013,Barrow (County),15012
4215,No,No,Yes,Yes,GA,2015/4/20 12:40,DR,Severe Ice Storm,SEVERE WINTER STORM ,2015/2/15 0:01,2015/2/17 23:59,,99085,Dawson (County),15012
4215,No,No,Yes,Yes,GA,2015/4/20 12:40,DR,Severe Ice Storm,SEVERE WINTER STORM ,2015/2/15 0:01,2015/2/17 23:59,,99105,Elbert (County),15012
4215,No,No,Yes,Yes,GA,2015/4/20 12:40,DR,Severe Ice Storm,SEVERE WINTER STORM ,2015/2/15 0:01,2015/2/17 23:59,,99117,Forsyth (County),15012
4215,No,No,Yes,Yes,GA,2015/4/20 12:40,DR,Severe Ice Storm,SEVERE WINTER STORM ,2015/2/15 0:01,2015/2/17 23:59,,99119,Franklin (County),15012
4215,No,No,Yes,Yes,GA,2015/4/20 12:40,DR,Severe Ice Storm,SEVERE WINTER STORM ,2015/2/15 0:01,2015/2/17 23:59,,99137,Habersham (County),15012
4215,No,No,Yes,Yes,GA,2015/4/20 12:40,DR,Severe Ice Storm,SEVERE WINTER STORM ,2015/2/15 0:01,2015/2/17 23:59,,99139,Hall (County),15012
4215,No,No,Yes,Yes,GA,2015/4/20 12:40,DR,Severe Ice Storm,SEVERE WINTER STORM ,2015/2/15 0:01,2015/2/17 23:59,,99147,Hart (County),15012
