Disaster Number,IH Program Declared,IA Program Declared,PA Program Declared,HM Program Declared,State,Declaration Date,Disaster Type,Incident Type,Title,Incident Begin Date,Incident End Date,Disaster Close Out Date,Place Code,Declared County/Area,Declaration Request Number
4418,No,No,Yes,Yes,WA,2019/3/4 14:38,DR,Severe Storm(s),"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, MUDSLIDES, TORNADO",2018/12/10 0:00,2018/12/24 0:00,,99009,Clallam (County),19005
4418,No,No,Yes,Yes,WA,2019/3/4 14:38,DR,Severe Storm(s),"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, MUDSLIDES, TORNADO",2018/12/10 0:00,2018/12/24 0:00,,99027,Grays Harbor (County),19005
4418,No,No,Yes,Yes,WA,2019/3/4 14:38,DR,Severe Storm(s),"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, MUDSLIDES, TORNADO",2018/12/10 0:00,2018/12/24 0:00,,99029,Island (County),19005
4418,No,No,Yes,Yes,WA,2019/3/4 14:38,DR,Severe Storm(s),"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, MUDSLIDES, TORNADO",2018/12/10 0:00,2018/12/24 0:00,,99031,Jefferson (County),19005
4418,No,No,Yes,Yes,WA,2019/3/4 14:38,DR,Severe Storm(s),"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, MUDSLIDES, TORNADO",2018/12/10 0:00,2018/12/24 0:00,,99045,Mason (County),19005
4418,No,No,Yes,Yes,WA,2019/3/4 14:38,DR,Severe Storm(s),"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, MUDSLIDES, TORNADO",2018/12/10 0:00,2018/12/24 0:00,,99049,Pacific (County),19005
4418,No,No,Yes,Yes,WA,2019/3/4 14:38,DR,Severe Storm(s),"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, MUDSLIDES, TORNADO",2018/12/10 0:00,2018/12/24 0:00,,99061,Snohomish (County),19005
4418,No,No,Yes,Yes,WA,2019/3/4 14:38,DR,Severe Storm(s),"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, MUDSLIDES, TORNADO",2018/12/10 0:00,2018/12/24 0:00,,99073,Whatcom (County),19005
4417,No,No,Yes,Yes,KS,2019/2/25 11:26,DR,Severe Storm(s),"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2018/10/4 0:00,2018/10/15 23:59,,99003,Anderson (County),18128
4417,No,No,Yes,Yes,KS,2019/2/25 11:26,DR,Severe Storm(s),"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2018/10/4 0:00,2018/10/15 23:59,,99009,Barton (County),18128
4417,No,No,Yes,Yes,KS,2019/2/25 11:26,DR,Severe Storm(s),"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2018/10/4 0:00,2018/10/15 23:59,,99035,Cowley (County),18128
4417,No,No,Yes,Yes,KS,2019/2/25 11:26,DR,Severe Storm(s),"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2018/10/4 0:00,2018/10/15 23:59,,99043,Doniphan (County),18128
4417,No,No,Yes,Yes,KS,2019/2/25 11:26,DR,Severe Storm(s),"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2018/10/4 0:00,2018/10/15 23:59,,99073,Greenwood (County),18128
4417,No,No,Yes,Yes,KS,2019/2/25 11:26,DR,Severe Storm(s),"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2018/10/4 0:00,2018/10/15 23:59,,99079,Harvey (County),18128
4417,No,No,Yes,Yes,KS,2019/2/25 11:26,DR,Severe Storm(s),"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2018/10/4 0:00,2018/10/15 23:59,,99095,Kingman (County),18128
4417,No,No,Yes,Yes,KS,2019/2/25 11:26,DR,Severe Storm(s),"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2018/10/4 0:00,2018/10/15 23:59,,99133,Neosho (County),18128
4417,No,No,Yes,Yes,KS,2019/2/25 11:26,DR,Severe Storm(s),"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2018/10/4 0:00,2018/10/15 23:59,,99151,Pratt (County),18128
4417,No,No,Yes,Yes,KS,2019/2/25 11:26,DR,Severe Storm(s),"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2018/10/4 0:00,2018/10/15 23:59,,99155,Reno (County),18128
4417,No,No,Yes,Yes,KS,2019/2/25 11:26,DR,Severe Storm(s),"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2018/10/4 0:00,2018/10/15 23:59,,99159,Rice (County),18128
4417,No,No,Yes,Yes,KS,2019/2/25 11:26,DR,Severe Storm(s),"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2018/10/4 0:00,2018/10/15 23:59,,99191,Sumner (County),18128
4415,No,No,Yes,Yes,MS,2019/2/14 16:10,DR,Severe Storm(s),"SEVERE STORMS, FLOODING, AND TORNADO",2018/12/27 14:34,2018/12/28 23:59,,99023,Clarke (County),19003
4415,No,No,Yes,Yes,MS,2019/2/14 16:10,DR,Severe Storm(s),"SEVERE STORMS, FLOODING, AND TORNADO",2018/12/27 14:34,2018/12/28 23:59,,99031,Covington (County),19003
4415,No,No,Yes,Yes,MS,2019/2/14 16:10,DR,Severe Storm(s),"SEVERE STORMS, FLOODING, AND TORNADO",2018/12/27 14:34,2018/12/28 23:59,,99035,Forrest (County),19003
4415,No,No,Yes,Yes,MS,2019/2/14 16:10,DR,Severe Storm(s),"SEVERE STORMS, FLOODING, AND TORNADO",2018/12/27 14:34,2018/12/28 23:59,,99041,Greene (County),19003
4415,No,No,Yes,Yes,MS,2019/2/14 16:10,DR,Severe Storm(s),"SEVERE STORMS, FLOODING, AND TORNADO",2018/12/27 14:34,2018/12/28 23:59,,99061,Jasper (County),19003
4415,No,No,Yes,Yes,MS,2019/2/14 16:10,DR,Severe Storm(s),"SEVERE STORMS, FLOODING, AND TORNADO",2018/12/27 14:34,2018/12/28 23:59,,99067,Jones (County),19003
4415,No,No,Yes,Yes,MS,2019/2/14 16:10,DR,Severe Storm(s),"SEVERE STORMS, FLOODING, AND TORNADO",2018/12/27 14:34,2018/12/28 23:59,,99091,Marion (County),19003
4415,No,No,Yes,Yes,MS,2019/2/14 16:10,DR,Severe Storm(s),"SEVERE STORMS, FLOODING, AND TORNADO",2018/12/27 14:34,2018/12/28 23:59,,99101,Newton (County),19003
4415,No,No,Yes,Yes,MS,2019/2/14 16:10,DR,Severe Storm(s),"SEVERE STORMS, FLOODING, AND TORNADO",2018/12/27 14:34,2018/12/28 23:59,,99111,Perry (County),19003
4415,No,No,Yes,Yes,MS,2019/2/14 16:10,DR,Severe Storm(s),"SEVERE STORMS, FLOODING, AND TORNADO",2018/12/27 14:34,2018/12/28 23:59,,99153,Wayne (County),19003
4410,No,No,Yes,Yes,CT,2018/12/5 11:03,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2018/9/25 11:36,2018/9/26 0:00,,99007,"Middlesex (County)(in (P)MSA 3280,5020,5480)",18131
4410,No,No,Yes,Yes,CT,2018/12/5 11:03,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2018/9/25 11:36,2018/9/26 0:00,,99011,"New London (County)(in (P)MSA 3280,5520)",18131
4409,No,No,Yes,Yes,AZ,2018/11/30 11:09,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2018/10/1 12:16,2018/10/3 0:00,,73950,Tohono O'odham Reservation and Trust Lands,18129
4408,No,No,Yes,Yes,PA,2018/11/27 13:15,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2018/8/10 0:00,2018/8/15 23:59,,99015,Bradford (County),18130
4408,No,No,Yes,Yes,PA,2018/11/27 13:15,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2018/8/10 0:00,2018/8/15 23:59,,99037,Columbia (County),18130
4408,No,No,Yes,Yes,PA,2018/11/27 13:15,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2018/8/10 0:00,2018/8/15 23:59,,99069,Lackawanna (County),18130
4408,No,No,Yes,Yes,PA,2018/11/27 13:15,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2018/8/10 0:00,2018/8/15 23:59,,99081,Lycoming (County),18130
4408,No,No,Yes,Yes,PA,2018/11/27 13:15,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2018/8/10 0:00,2018/8/15 23:59,,99093,Montour (County),18130
4408,No,No,Yes,Yes,PA,2018/11/27 13:15,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2018/8/10 0:00,2018/8/15 23:59,,99095,Northampton (County),18130
4408,No,No,Yes,Yes,PA,2018/11/27 13:15,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2018/8/10 0:00,2018/8/15 23:59,,99107,Schuylkill (County),18130
4408,No,No,Yes,Yes,PA,2018/11/27 13:15,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2018/8/10 0:00,2018/8/15 23:59,,99113,Sullivan (County),18130
4408,No,No,Yes,Yes,PA,2018/11/27 13:15,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2018/8/10 0:00,2018/8/15 23:59,,99115,Susquehanna (County),18130
4408,No,No,Yes,Yes,PA,2018/11/27 13:15,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2018/8/10 0:00,2018/8/15 23:59,,99117,Tioga (County),18130
4408,No,No,Yes,Yes,PA,2018/11/27 13:15,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2018/8/10 0:00,2018/8/15 23:59,,99131,Wyoming (County),18130
4403,No,No,Yes,Yes,KS,2018/10/19 9:55,DR,Severe Storm(s),"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING  ",2018/9/1 0:00,2018/9/8 23:59,,99007,Barber (County),18110
4403,No,No,Yes,Yes,KS,2018/10/19 9:55,DR,Severe Storm(s),"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING  ",2018/9/1 0:00,2018/9/8 23:59,,99027,Clay (County),18110
4403,No,No,Yes,Yes,KS,2018/10/19 9:55,DR,Severe Storm(s),"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING  ",2018/9/1 0:00,2018/9/8 23:59,,99095,Kingman (County),18110
4403,No,No,Yes,Yes,KS,2018/10/19 9:55,DR,Severe Storm(s),"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING  ",2018/9/1 0:00,2018/9/8 23:59,,99097,Kiowa (County),18110
