Disaster Number,IH Program Declared,IA Program Declared,PA Program Declared,HM Program Declared,State,Declaration Date,Disaster Type,Incident Type,Title,Incident Begin Date,Incident End Date,Disaster Close Out Date,Place Code,Declared County/Area,Declaration Request Number
4379,No,No,Yes,Yes,MA,2018/7/19 8:40,DR,Snow,SEVERE WINTER STORM AND SNOWSTORM,2018/3/13 8:00,2018/3/14 23:59,,99009,"Essex (County)(in PMSA 1120,4160,7090)",18060
4379,No,No,Yes,Yes,MA,2018/7/19 8:40,DR,Snow,SEVERE WINTER STORM AND SNOWSTORM,2018/3/13 8:00,2018/3/14 23:59,,99017,"Middlesex (County)(in (P)MSA 1120,2600,4560)",18060
4379,No,No,Yes,Yes,MA,2018/7/19 8:40,DR,Snow,SEVERE WINTER STORM AND SNOWSTORM,2018/3/13 8:00,2018/3/14 23:59,,99021,"Norfolk (County)(in PMSA 1120,1200,6060)",18060
4379,No,No,Yes,Yes,MA,2018/7/19 8:40,DR,Snow,SEVERE WINTER STORM AND SNOWSTORM,2018/3/13 8:00,2018/3/14 23:59,,99025,Suffolk (County),18060
4379,No,No,Yes,Yes,MA,2018/7/19 8:40,DR,Snow,SEVERE WINTER STORM AND SNOWSTORM,2018/3/13 8:00,2018/3/14 23:59,,99027,"Worcester (County) (in (P)MSA 1120,2600,9240)",18060
4375,No,No,Yes,Yes,NE,2018/6/29 12:45,DR,Snow,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,2018/4/13 16:30,2018/4/18 23:59,,99003,Antelope (County),18030
4375,No,No,Yes,Yes,NE,2018/6/29 12:45,DR,Snow,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,2018/4/13 16:30,2018/4/18 23:59,,99009,Blaine (County),18030
4375,No,No,Yes,Yes,NE,2018/6/29 12:45,DR,Snow,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,2018/4/13 16:30,2018/4/18 23:59,,99011,Boone (County),18030
4375,No,No,Yes,Yes,NE,2018/6/29 12:45,DR,Snow,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,2018/4/13 16:30,2018/4/18 23:59,,99015,Boyd (County),18030
4375,No,No,Yes,Yes,NE,2018/6/29 12:45,DR,Snow,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,2018/4/13 16:30,2018/4/18 23:59,,99033,Cheyenne (County),18030
