Disaster Number,IH Program Declared,IA Program Declared,PA Program Declared,HM Program Declared,State,Declaration Date,Disaster Type,Incident Type,Title,Incident Begin Date,Incident End Date,Disaster Close Out Date,Place Code,Declared County/Area,Declaration Request Number
4419,Yes,No,Yes,Yes,AL,2019/3/5 17:33,DR,Tornado,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",2019/3/3 0:01,2019/3/3 23:59,,99081,Lee (County),19006
4385,No,No,Yes,Yes,CT,2018/8/20 12:01,DR,Tornado,"SEVERE STORMS, TORNADOES, AND STRAIGHT-LINE WINDS ",2018/5/15 0:00,2018/5/15 0:00,,99001,"Fairfield (County)(in PMSA 1160,1930,5760,8040)",18063
4385,No,No,Yes,Yes,CT,2018/8/20 12:01,DR,Tornado,"SEVERE STORMS, TORNADOES, AND STRAIGHT-LINE WINDS ",2018/5/15 0:00,2018/5/15 0:00,,99009,"New Haven (County)(in (P)MSA 1160,5480,8880)",18063
4324,No,No,Yes,Yes,OK,2017/7/25 19:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017/5/16 10:08,2017/5/20 23:59,,99003,Alfalfa (County),17071
4324,No,No,Yes,Yes,OK,2017/7/25 19:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017/5/16 10:08,2017/5/20 23:59,,99009,Beckham (County),17071
4324,No,No,Yes,Yes,OK,2017/7/25 19:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017/5/16 10:08,2017/5/20 23:59,,99021,Cherokee (County),17071
4324,No,No,Yes,Yes,OK,2017/7/25 19:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017/5/16 10:08,2017/5/20 23:59,,99029,Coal (County),17071
4324,No,No,Yes,Yes,OK,2017/7/25 19:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017/5/16 10:08,2017/5/20 23:59,,99033,Cotton (County),17071
4324,No,No,Yes,Yes,OK,2017/7/25 19:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017/5/16 10:08,2017/5/20 23:59,,99041,Delaware (County),17071
4324,No,No,Yes,Yes,OK,2017/7/25 19:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017/5/16 10:08,2017/5/20 23:59,,99069,Johnston (County),17071
4324,No,No,Yes,Yes,OK,2017/7/25 19:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017/5/16 10:08,2017/5/20 23:59,,99079,Le Flore (County),17071
4324,No,No,Yes,Yes,OK,2017/7/25 19:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017/5/16 10:08,2017/5/20 23:59,,99099,Murray (County),17071
4324,No,No,Yes,Yes,OK,2017/7/25 19:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017/5/16 10:08,2017/5/20 23:59,,99101,Muskogee (County),17071
4324,No,No,Yes,Yes,OK,2017/7/25 19:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017/5/16 10:08,2017/5/20 23:59,,99107,Okfuskee (County),17071
4324,No,No,Yes,Yes,OK,2017/7/25 19:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017/5/16 10:08,2017/5/20 23:59,,99111,Okmulgee (County),17071
4324,No,No,Yes,Yes,OK,2017/7/25 19:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017/5/16 10:08,2017/5/20 23:59,,99121,Pittsburg (County),17071
4324,No,No,Yes,Yes,OK,2017/7/25 19:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017/5/16 10:08,2017/5/20 23:59,,99123,Pontotoc (County),17071
4324,No,No,Yes,Yes,OK,2017/7/25 19:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017/5/16 10:08,2017/5/20 23:59,,99129,Roger Mills (County),17071
4324,No,No,Yes,Yes,OK,2017/7/25 19:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017/5/16 10:08,2017/5/20 23:59,,99149,Washita (County),17071
4300,Yes,No,No,Yes,LA,2017/2/11 14:30,DR,Tornado,"SEVERE STORMS, TORNADOES, AND STRAIGHT-LINE WINDS",2017/2/7 0:01,2017/2/7 23:59,,99063,Livingston (Parish),17011
4300,Yes,No,No,Yes,LA,2017/2/11 14:30,DR,Tornado,"SEVERE STORMS, TORNADOES, AND STRAIGHT-LINE WINDS",2017/2/7 0:01,2017/2/7 23:59,,99071,Orleans (Parish),17011
4297,Yes,No,Yes,Yes,GA,2017/1/26 11:30,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017/1/21 0:00,2017/1/22 23:59,,99001,Appling (County),17007
4297,Yes,No,Yes,Yes,GA,2017/1/26 11:30,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017/1/21 0:00,2017/1/22 23:59,,99007,Baker (County),17007
4297,Yes,No,Yes,Yes,GA,2017/1/26 11:30,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017/1/21 0:00,2017/1/22 23:59,,99019,Berrien (County),17007
4297,Yes,No,Yes,Yes,GA,2017/1/26 11:30,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017/1/21 0:00,2017/1/22 23:59,,99025,Brantley (County),17007
4297,Yes,No,Yes,Yes,GA,2017/1/26 11:30,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017/1/21 0:00,2017/1/22 23:59,,99027,Brooks (County),17007
4297,Yes,No,Yes,Yes,GA,2017/1/26 11:30,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017/1/21 0:00,2017/1/22 23:59,,99031,Bulloch (County),17007
4297,Yes,No,Yes,Yes,GA,2017/1/26 11:30,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017/1/21 0:00,2017/1/22 23:59,,99037,Calhoun (County),17007
4297,Yes,No,Yes,Yes,GA,2017/1/26 11:30,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017/1/21 0:00,2017/1/22 23:59,,99061,Clay (County),17007
4297,Yes,No,Yes,Yes,GA,2017/1/26 11:30,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017/1/21 0:00,2017/1/22 23:59,,99071,Colquitt (County),17007
4297,Yes,No,Yes,Yes,GA,2017/1/26 11:30,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017/1/21 0:00,2017/1/22 23:59,,99075,Cook (County),17007
4297,Yes,No,Yes,Yes,GA,2017/1/26 11:30,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017/1/21 0:00,2017/1/22 23:59,,99081,Crisp (County),17007
