Disaster Number,IH Program Declared,IA Program Declared,PA Program Declared,HM Program Declared,State,Declaration Date,Disaster Type,Incident Type,Title,Incident Begin Date,Incident End Date,Disaster Close Out Date,Place Code,Declared County/Area,Declaration Request Number
4404,Yes,No,Yes,Yes,MP,2018/10/26 18:20,DR,Typhoon,SUPER TYPHOON YUTU,2018/10/24 17:00,2018/10/26 23:59,,99085,Northern Islands (Municipality),18119
4404,Yes,No,Yes,Yes,MP,2018/10/26 18:20,DR,Typhoon,SUPER TYPHOON YUTU,2018/10/24 17:00,2018/10/26 23:59,,99100,Rota (Municipality),18119
4404,Yes,No,Yes,Yes,MP,2018/10/26 18:20,DR,Typhoon,SUPER TYPHOON YUTU,2018/10/24 17:00,2018/10/26 23:59,,99110,Saipan (Municipality),18119
4404,Yes,No,Yes,Yes,MP,2018/10/26 18:20,DR,Typhoon,SUPER TYPHOON YUTU,2018/10/24 17:00,2018/10/26 23:59,,99120,Tinian (Municipality),18119
3408,No,No,Yes,No,MP,2018/10/23 17:00,EM,Typhoon,TYPHOON YUTU,2018/10/24 0:00,2018/10/26 23:59,,99085,Northern Islands (Municipality),18118
3408,No,No,Yes,No,MP,2018/10/23 17:00,EM,Typhoon,TYPHOON YUTU,2018/10/24 0:00,2018/10/26 23:59,,99100,Rota (Municipality),18118
3408,No,No,Yes,No,MP,2018/10/23 17:00,EM,Typhoon,TYPHOON YUTU,2018/10/24 0:00,2018/10/26 23:59,,99110,Saipan (Municipality),18118
3408,No,No,Yes,No,MP,2018/10/23 17:00,EM,Typhoon,TYPHOON YUTU,2018/10/24 0:00,2018/10/26 23:59,,99120,Tinian (Municipality),18118
4398,No,No,Yes,Yes,GU,2018/10/1 17:10,DR,Typhoon,TYPHOON MANGKHUT,2018/9/10 7:00,2018/9/11 23:59,,99010,Guam (County-equivalent),18107
4396,Yes,No,Yes,Yes,MP,2018/9/29 13:15,DR,Typhoon,TYPHOON MANGKHUT,2018/9/10 7:00,2018/9/11 23:59,,99100,Rota (Municipality),18106
4396,Yes,No,Yes,Yes,MP,2018/9/29 13:15,DR,Typhoon,TYPHOON MANGKHUT,2018/9/10 7:00,2018/9/11 23:59,,99110,Saipan (Municipality),18106
4396,Yes,No,Yes,Yes,MP,2018/9/29 13:15,DR,Typhoon,TYPHOON MANGKHUT,2018/9/10 7:00,2018/9/11 23:59,,99120,Tinian (Municipality),18106
3402,No,No,Yes,No,MP,2018/9/10 21:00,EM,Typhoon,TYPHOON MANGKHUT,2018/9/10 7:00,2018/9/11 23:59,,99100,Rota (Municipality),18098
3402,No,No,Yes,No,MP,2018/9/10 21:00,EM,Typhoon,TYPHOON MANGKHUT,2018/9/10 7:00,2018/9/11 23:59,,99110,Saipan (Municipality),18098
3402,No,No,Yes,No,MP,2018/9/10 21:00,EM,Typhoon,TYPHOON MANGKHUT,2018/9/10 7:00,2018/9/11 23:59,,99120,Tinian (Municipality),18098
4235,Yes,No,Yes,Yes,MP,2015/8/5 19:54,DR,Typhoon,TYPHOON SOUDELOR,2015/8/1 0:00,2015/8/3 23:59,,99100,Rota (Municipality),15050
4235,Yes,No,Yes,Yes,MP,2015/8/5 19:54,DR,Typhoon,TYPHOON SOUDELOR,2015/8/1 0:00,2015/8/3 23:59,,99110,Saipan (Municipality),15050
4235,Yes,No,Yes,Yes,MP,2015/8/5 19:54,DR,Typhoon,TYPHOON SOUDELOR,2015/8/1 0:00,2015/8/3 23:59,,99120,Tinian (Municipality),15050
4224,No,No,Yes,Yes,GU,2015/6/5 18:10,DR,Typhoon,TYPHOON DOLPHIN,2015/5/13 0:00,2015/5/16 23:59,,99010,Guam (County-equivalent),15022
1611,No,No,Yes,Yes,MP,2005/11/8 20:53,DR,Typhoon,TYPHOON NABI,2005/8/30 0:01,2005/9/1 23:59,2015/1/15 23:59,99100,Rota (Municipality),5144
1611,No,No,Yes,Yes,MP,2005/11/8 20:53,DR,Typhoon,TYPHOON NABI,2005/8/30 0:01,2005/9/1 23:59,2015/1/15 23:59,99110,Saipan (Municipality),5144
1611,No,No,Yes,Yes,MP,2005/11/8 20:53,DR,Typhoon,TYPHOON NABI,2005/8/30 0:01,2005/9/1 23:59,2015/1/15 23:59,99120,Tinian (Municipality),5144
1582,Yes,Yes,Yes,Yes,AS,2005/2/18 13:19,DR,Typhoon,"TC OLAF, INCLUD. HIGH WINDS AND SURF AND HEAVY RAINFALL",2005/2/15 12:45,2005/2/21 12:10,2015/9/10 0:00,99010,Eastern (District),5021
1582,Yes,Yes,Yes,Yes,AS,2005/2/18 13:19,DR,Typhoon,"TC OLAF, INCLUD. HIGH WINDS AND SURF AND HEAVY RAINFALL",2005/2/15 12:45,2005/2/21 12:10,2015/9/10 0:00,99020,Manu'a (District),5021
1582,Yes,Yes,Yes,Yes,AS,2005/2/18 13:19,DR,Typhoon,"TC OLAF, INCLUD. HIGH WINDS AND SURF AND HEAVY RAINFALL",2005/2/15 12:45,2005/2/21 12:10,2015/9/10 0:00,99030,Rose Island (Island) (County-equivalent),5021
1582,Yes,Yes,Yes,Yes,AS,2005/2/18 13:19,DR,Typhoon,"TC OLAF, INCLUD. HIGH WINDS AND SURF AND HEAVY RAINFALL",2005/2/15 12:45,2005/2/21 12:10,2015/9/10 0:00,99040,Swains Island (Island) (County-equivalent),5021
1582,Yes,Yes,Yes,Yes,AS,2005/2/18 13:19,DR,Typhoon,"TC OLAF, INCLUD. HIGH WINDS AND SURF AND HEAVY RAINFALL",2005/2/15 12:45,2005/2/21 12:10,2015/9/10 0:00,99050,Western (District),5021
1541,Yes,Yes,Yes,Yes,MP,2004/8/26 23:15,DR,Typhoon,"FLOODING, HIGH SURF, STORM SURGE, AND HIGH WINDS AS A RESULT OF SUPER TYPHOON CH",2004/8/21 14:40,2004/8/26 0:00,2015/1/15 23:59,99100,Rota (Municipality),4092
1541,Yes,Yes,Yes,Yes,MP,2004/8/26 23:15,DR,Typhoon,"FLOODING, HIGH SURF, STORM SURGE, AND HIGH WINDS AS A RESULT OF SUPER TYPHOON CH",2004/8/21 14:40,2004/8/26 0:00,2015/1/15 23:59,99110,Saipan (Municipality),4092
1541,Yes,Yes,Yes,Yes,MP,2004/8/26 23:15,DR,Typhoon,"FLOODING, HIGH SURF, STORM SURGE, AND HIGH WINDS AS A RESULT OF SUPER TYPHOON CH",2004/8/21 14:40,2004/8/26 0:00,2015/1/15 23:59,99120,Tinian (Municipality),4092
1532,No,No,Yes,Yes,MP,2004/7/29 20:18,DR,Typhoon,"FLOODING, HIGH SURF, HIGH WINDS, AND WIND-DRIVEN RAIN ASSOCIATED W TYPH TINGTING",2004/6/27 7:00,2004/6/29 19:00,2015/1/15 23:59,99100,Rota (Municipality),4065
1532,No,No,Yes,Yes,MP,2004/7/29 20:18,DR,Typhoon,"FLOODING, HIGH SURF, HIGH WINDS, AND WIND-DRIVEN RAIN ASSOCIATED W TYPH TINGTING",2004/6/27 7:00,2004/6/29 19:00,2015/1/15 23:59,99110,Saipan (Municipality),4065
1532,No,No,Yes,Yes,MP,2004/7/29 20:18,DR,Typhoon,"FLOODING, HIGH SURF, HIGH WINDS, AND WIND-DRIVEN RAIN ASSOCIATED W TYPH TINGTING",2004/6/27 7:00,2004/6/29 19:00,2015/1/15 23:59,99120,Tinian (Municipality),4065
1511,Yes,Yes,Yes,Yes,FM,2004/4/10 0:00,DR,Typhoon,TYPHOON SUDAL,2004/4/8 23:50,2004/4/14 0:00,2015/8/20 0:00,99060,Yap (County-equivalent),4020
1506,Yes,Yes,Yes,Yes,AS,2004/1/13 14:15,DR,Typhoon,"HIGH WINDS, HIGH SURF, AND HEAVY RAINFALL ASSOCIATED WITH TROPCIAL CYCLONE HETA",2004/1/2 17:00,2004/1/6 0:00,2015/9/10 0:00,99010,Eastern (District),4002
1506,Yes,Yes,Yes,Yes,AS,2004/1/13 14:15,DR,Typhoon,"HIGH WINDS, HIGH SURF, AND HEAVY RAINFALL ASSOCIATED WITH TROPCIAL CYCLONE HETA",2004/1/2 17:00,2004/1/6 0:00,2015/9/10 0:00,99020,Manu'a (District),4002
1506,Yes,Yes,Yes,Yes,AS,2004/1/13 14:15,DR,Typhoon,"HIGH WINDS, HIGH SURF, AND HEAVY RAINFALL ASSOCIATED WITH TROPCIAL CYCLONE HETA",2004/1/2 17:00,2004/1/6 0:00,2015/9/10 0:00,99050,Western (District),4002
